date,masi_open,masi_high,masi_low,masi_close,masi_change_pct,masi_simple_return,masi_log_return,masi_log_open_close,masi_log_high_low,masi_price_range_pct,masi_close_to_open_ratio,masi_log_return_mean_5,masi_log_return_std_5,masi_log_return_mean_10,masi_log_return_std_10,masi_log_return_mean_21,masi_log_return_std_21,masi_egarch_mean,masi_egarch_vol,masi_egarch_std_resid,masi_egarch_vol_ratio,masi_egarch_mean_next,masi_egarch_vol_next
2007-01-02,9458.69,9514.92,9418.46,9482.63,0.03,,,0.0025278082781641,0.0101894996652236,0.0101722834276989,1.0025310058792496,,,,,,,,,,,0.00023922074063950288,
2007-01-03,9476.92,9625.38,9476.54,9625.38,1.51,0.0150538405484554,0.0149416559622466,0.0155439909514879,0.0155840891710266,0.0154632856053473,1.0156654271640997,,,,,,,0.00023922074063950305,0.010343043190705066,1.4214805981685996,,0.0038351159245591203,0.011288295981111087
2007-01-04,9641.22,9780.28,9629.58,9780.28,1.61,0.0160928711385941,0.015964753579757,0.0143204568622356,0.0155285023419866,0.0154085568102345,1.0144234858244083,,,,,,,0.0038351159245591203,0.011358071672939627,1.0679310717942108,,0.004081337080017456,0.011937388321822553
2007-01-05,9810.59,9984.81,9809.23,9933.29,1.56,0.0156447463671796,0.0155236289238761,0.0124293279373362,0.0177411589826256,0.0176759160358753,1.0125068930614776,,,,,,,0.004081337080017455,0.011950895464045421,0.9574422166341491,,0.00397517494982263,0.011695121034911769
2007-01-08,9960.51,10049.33,9956.31,10023.46,0.91,0.0090775563786014,0.0090366030147664,0.006300070327531,0.0092994445926855,0.0092802285837425,1.0063199575122157,,,,,,,0.00397517494982263,0.011694639405194752,0.43279898503715186,,0.002413991551980427,0.01008267301388415
2007-01-09,10014.86,10054.28,9971.41,9971.41,-0.52,-0.0051928176497935,-0.0052063471852972,-0.0043479917415255,0.0082764162475894,0.0083107604641671,0.9956614470896248,0.0100520588590697,0.0089813181556499,,,,,0.0024139915519804265,0.010081323822830219,-0.7558867140068021,0.9094075767262784,-0.0010137514076101702,0.01005422377858179
2007-01-10,9943.43,9965.77,9924.1,9940.01,-0.31,-0.0031490029995757,-0.0031539715429017,-0.0003440048637184,0.0041900787653043,0.0041921487000516,0.9996560542991704,0.0064329333580401,0.0100952592269517,,,,,-0.00101375140761017,0.010053571519003797,-0.21288157459724358,0.9211974006598643,-0.0005198217048562429,0.008583130624371589
2007-01-12,9837.67,9837.67,9676.08,9814.77,-1.26,-0.0125995849098743,-0.012679632770461,-0.0023305004736918,0.0165620338145338,0.0164639619675244,0.997672213034184,0.0007040560879965,0.0113797127472368,,,,,-0.0005198217048562426,0.008582834236629169,-1.4167593979282553,0.8111840025532872,-0.002812290452522419,0.010943420592372688
2007-01-15,9843.85,9913.1,9817.54,9856.22,0.42,0.0042232268305828,0.004214334036883,0.0012558332661502,0.0096865329446789,0.0096954004679278,1.0012566221549497,-0.0015578028894021,0.0084426555495117,,,,,-0.0028122904525224196,0.010943333727937161,0.6420917669235654,1.0298673696002,0.0012534525971985616,0.010525415823025897
2007-01-16,9833.74,10016.81,9825.24,10006.88,1.53,0.0152857789294476,0.0151701284599272,0.0174535266758084,0.0193100967570253,0.0191438290456165,1.0176067294844078,-0.0003310978003699,0.010549549217847,,,,,0.001253452597198561,0.01052541545585397,1.3221972967336446,0.9915799952841031,0.003890100670302405,0.011077823740935735
