run_date,target_date,model_name,horizon,alpha,mean_forecast,volatility_forecast,return_forecast,var_forecast,es_forecast,regime,weight,model_version,data_version,realized_return,var_breach,es_calibration_error,realized_strategy_return,updated_wealth,updated_drawdown
2026-04-26T00:00:42,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.1796948350381391,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:03:31,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0117046513411072,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.002121030461191,0.0
2026-04-26T00:03:31,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.1170465134110726,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:03:31,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.2926162835276816,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:06:01,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0026849747600849,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.0023569780399515,0.0
2026-04-26T00:06:01,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.0268497476008495,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:06:01,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.0671243690021238,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:07:55,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0211685558049661,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.0025929811721417,0.0
2026-04-26T00:07:55,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.2116855580496618,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:07:55,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.5292138951241545,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:15:53,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0211685558049661,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.0028290398708408,0.0
